iter,time,reward,steps,convergence
1,0.001705821000001606,-1718.59,299.13,89.59
2,0.005006996999995295,-980.98,300.0,80.17999999999999
3,0.006102067000000488,-353.91,300.0,70.77
4,0.007877630999999496,-662.35,299.96,61.35999999999999
5,0.009129934999990041,-801.57,300.0,51.94999999999999
6,0.010090971999986209,-771.4,300.0,42.588509999999985
7,0.011011378999981503,-796.16,298.91,33.22471458815918
8,0.01222127199999079,-735.49,300.0,23.814714588159195
9,0.01359507299999052,-334.19,300.0,14.204714588159195
10,0.015101372999993146,-347.89,300.0,4.308202339893329
11,0.015947031999999695,-516.66,298.53,4.308202339893329
12,0.017925524999995446,-976.98,298.78,4.308202339893329
13,0.0187912869999991,-519.12,300.0,3.9072213398933284
14,0.019676885999999172,-552.22,300.0,3.9072213398933284
15,0.020659360999999876,-859.08,297.57,3.5090449252164406
16,0.02166381499999659,-645.89,300.0,3.4150359404264408
17,0.02269295799999327,-447.91,300.0,2.9690505462704393
18,0.024487387999997168,-366.11,300.0,2.5674713598118246
19,0.025469299999997475,-616.32,299.21,2.296746594136816
20,0.027190224999998236,-330.49,299.21,2.3863615078188687
21,0.028479397999987555,-313.26,300.0,1.9053556945718726
22,0.030017411999992305,-405.82,300.0,1.422233916977659
23,0.031243640999988997,-311.57,300.0,1.827537157977659
24,0.032086378999991894,-315.39,300.0,1.827537157977659
25,0.033011474999980805,-302.12,300.0,1.7373032231198422
26,0.0341839109999853,-308.73,300.0,1.2964780485354097
27,0.03502552499998046,-325.57,300.0,1.30203123817235
28,0.035891467999974225,-395.57,300.0,1.3092686935439986
29,0.036772910999971486,-333.13,300.0,1.382310106250135
30,0.03764406799996323,-352.44,300.0,1.290123634017918
31,0.0384758129999625,-301.49,300.0,1.3722461565471236
32,0.03933914299996388,-319.0,300.0,1.4630180128633157
33,0.04042049899996414,-315.46,300.0,0.9755078361209144
34,0.04136518399995737,-309.12,300.0,0.7605613398625494
35,0.04220264399995699,-324.92,300.0,0.7598065921832358
36,0.04329525699995429,-304.07,300.0,0.8539493118058005
37,0.044763784999958034,-303.26,300.0,0.7635901119497049
38,0.04632469199997047,-842.92,296.92,1.1579318430366712
39,0.04754211299997735,-448.1,300.0,1.5316033555701238
40,0.04851713199998642,-315.51,300.0,1.8191224613723804
41,0.05539757999997619,-313.93,300.0,1.7399112891805786
42,0.05713628599997378,-314.92,300.0,1.6591168241532983
43,0.05864289299996983,-299.54,300.0,1.6529218129463743
44,0.06060261899996533,-300.59,300.0,1.3785822996628767
45,0.06209534899996072,-303.16,300.0,1.3882839629889177
46,0.06292823299996542,-301.59,300.0,1.2912099469999618
47,0.06374601199996732,-302.24,300.0,1.2880253862200235
48,0.06469187099996532,-300.05,300.0,0.7997101473405976
49,0.06565285099996743,-320.75,300.0,0.3558932581410502
